Feedback,Predicted_Category
The teachers are very helpful and the classes are well structured.,Academics
There is no proper ventilation in the classrooms.,Facilities
The admin office takes too long to process forms.,Administration
Library resources are excellent for academic research.,Academics
Washrooms in the hostel are not maintained properly.,Facilities
Course syllabus is outdated and needs revision.,Academics
Canteen food quality has improved a lot.,Facilities
Class timings are not followed strictly.,Administration
WiFi is very slow in the hostel.,Facilities
Faculty members are approachable and knowledgeable.,Academics
The exam schedule was not communicated clearly.,Academics
Hostel food lacks variety and taste.,Facilities
Online classes are not interactive enough.,Academics
The admission process was smooth and efficient.,Facilities
Computers in the lab are outdated.,Facilities
Classrooms are equipped with smart boards.,Facilities
Power outages are frequent in the library.,Facilities
The admin staff is unresponsive to queries.,Administration
There is no proper parking facility for students.,Facilities
The lab assistants are very cooperative and helpful.,Facilities
